flow_id,source,destination,protocol,destination_port,protocol_port,process,observed_count,classification,dependency_type,confidence,control_recommendation,description
F002,onprem-petclinic-vm,postgres-db-vm,TCP,5432,TCP/5432,java,22,database,postgresql,high,"Model as database dependency; plan private endpoint, firewall rules and cutover validation.",JDBC traffic to PostgreSQL profile database
F003,onprem-petclinic-vm,mysql-db-vm,TCP,3306,TCP/3306,java,7,database,mysql,high,"Model as database dependency; plan private endpoint, firewall rules and cutover validation.",JDBC traffic to MySQL profile database
F004,onprem-petclinic-vm,repo.maven.apache.org,TCP,443,TCP/443,mvnw,34,egress,https,medium,"Add to egress allowlist and enforce through firewall, NAT Gateway, NSG or network policy.",Maven dependency download during build
F005,onprem-petclinic-vm,github.com,TCP,443,TCP/443,git,8,egress,https,medium,"Add to egress allowlist and enforce through firewall, NAT Gateway, NSG or network policy.",GitHub source and CI integration traffic
F006,onprem-petclinic-vm,dns-resolver,UDP,53,UDP/53,java,19,egress,dns,medium,"Add to egress allowlist and enforce through firewall, NAT Gateway, NSG or network policy.",DNS lookups for external endpoints
F007,onprem-petclinic-vm,smtp-relay.local,TCP,25,TCP/25,java,3,egress,smtp,medium,"Add to egress allowlist and enforce through firewall, NAT Gateway, NSG or network policy.",Observed SMTP-like egress not found in source scan
F009,petclinic-container-app,petclinic-pg-qevd19.postgres.database.azure.com,TCP,5432,TCP/5432,java,planned,database,postgresql,high,"Allow only from application environment to PostgreSQL private endpoint or approved server firewall rule; enforce TLS and database credentials from secrets.",Runtime database egress to Azure Database for PostgreSQL Flexible Server
F010,petclinic-container-app,petclinicdbqevd19kv.vault.azure.net,TCP,443,TCP/443,managed-identity,planned,egress,key_vault,high,"Prefer Key Vault private endpoint plus managed identity; otherwise allow HTTPS only from approved outbound IP or firewall path.",Runtime secret retrieval from Azure Key Vault pattern
F011,petclinic-container-app,petclinicacrc6mhqfua.azurecr.io,TCP,443,TCP/443,managed-identity,planned,egress,container_registry,high,"Use managed identity with AcrPull and private endpoint or approved Azure Firewall application rule.",Container image pull from Azure Container Registry
F012,petclinic-container-app,azure-monitor-ingestion,TCP,443,TCP/443,azure-monitor-agent,planned,egress,observability,medium,"Allow Azure Monitor and Log Analytics ingestion through service tags or firewall application rules.",Runtime logs and metrics export
F013,petclinic-container-app,azure-private-dns-resolver,UDP,53,UDP/53,java,planned,egress,dns,high,"Use private DNS zones for postgres.database.azure.com, vault.azure.net and azurecr.io private endpoints; allow DNS only to approved resolvers.",Runtime DNS resolution
F014,petclinic-container-app,smtp-relay-to-confirm,TCP,587,TCP/587,java,blocked_until_validated,egress,smtp,medium,"Deny by default until app owner confirms SMTP is required; if required use authenticated relay on 587 and firewall allowlist.",Potential SMTP egress carried from discovery risk F007
F015,petclinic-container-app,third-party-api-to-confirm,TCP,443,TCP/443,java,blocked_until_validated,egress,third_party_api,low,"Deny by default; require owner, URL, data classification, SLA and firewall approval before adding.",No confirmed third-party API dependency in source scan
F016,petclinic-container-app,file-share-to-confirm,TCP,445,TCP/445,java,blocked_until_validated,egress,file_share,low,"Deny by default; if required use Azure Files private endpoint, SMB 445 allowlist and identity-based access where possible.",No confirmed file share dependency in source scan
F017,petclinic-container-app,login.microsoftonline.com,TCP,443,TCP/443,java,conditional,egress,auth_provider,medium,"Allow only if Entra ID authentication is enabled; enforce through Azure Firewall FQDN rule or service tag where supported.",Future authentication provider egress for Entra ID/OIDC
