rule_id,source_scope,destination,service_or_fqdn,protocol,ports,required_for,environment,allow_or_deny,enforcement,notes
EG-001,Container Apps environment,Azure PostgreSQL Flexible Server,petclinic-pg-qevd19.postgres.database.azure.com,TCP,5432,Runtime database access,dev/prod,Allow,"Private Endpoint plus private DNS; PostgreSQL firewall; Azure Firewall network rule if routed through hub","Current live assessment allows the app to reach Azure PostgreSQL; production should prefer private endpoint."
EG-002,Container Apps environment,Azure Key Vault,petclinicdbqevd19kv.vault.azure.net,TCP,443,Runtime secret retrieval,dev/prod,Allow,"Managed identity RBAC; Key Vault private endpoint; Azure Firewall application rule","Secrets must not be committed or injected as clear text."
EG-003,Container Apps environment,Azure Container Registry,petclinicacrc6mhqfua.azurecr.io,TCP,443,Image pull,dev/prod,Allow,"Managed identity AcrPull; ACR private endpoint or Azure Firewall application rule","Required when new revisions pull application image."
EG-004,Container Apps environment,Azure Monitor and Log Analytics,AzureMonitor service tag,TCP,443,Logs and metrics,dev/prod,Allow,"Azure Firewall service tag/application rule; platform diagnostics settings","Required for health, startup and hypercare evidence."
EG-005,Container Apps environment,Private DNS resolver,Approved DNS resolver,UDP/TCP,53,Name resolution,dev/prod,Allow,"Private DNS zones and resolver forwarding; deny arbitrary DNS egress","Required for private endpoint name resolution."
EG-006,Container Apps environment,SMTP relay,To be confirmed,TCP,587,Email notifications,conditional,Deny until validated,"Azure Firewall FQDN/network rule after owner approval","Discovery found SMTP-like TCP 25 but source code does not confirm it."
EG-007,Container Apps environment,Third-party API,To be confirmed,TCP,443,External integration,conditional,Deny until validated,"Azure Firewall FQDN rule plus change approval","No confirmed third-party API dependency in Module 2 scan."
EG-008,Container Apps environment,File share,To be confirmed,TCP,445,Shared file dependency,conditional,Deny until validated,"Azure Files private endpoint and NSG/firewall rule","No confirmed file share dependency in Module 2 scan."
EG-009,Container Apps environment,Authentication provider,login.microsoftonline.com,TCP,443,Future Entra ID/OIDC auth,conditional,Allow if auth enabled,"Azure Firewall FQDN rule or approved identity endpoint service tag","Not required for current PetClinic auth because app has no production OIDC integration."
EG-010,CI/CD build agent,Maven Central and GitHub,repo.maven.apache.org; github.com,TCP,443,Build and source operations,build-only,Allow from build network only,"Azure Firewall application rules or approved artifact mirror","Runtime workload should not require Maven/GitHub egress."
EG-011,Container Apps environment,Azure App Configuration,petclinic-config.azconfig.io,TCP,443,Runtime configuration and feature flags,dev/prod,Allow,"Managed identity App Configuration Data Reader; App Configuration private endpoint or Azure Firewall application rule","Module 10 moves non-secret runtime configuration and feature flags here."
